"DateTime","windcode","open","high","low","close","volume","amount","change","pctchange","begintime","endtime"
2019-05-22 14:21:00,000048.SZ,19,19,19,19,1500,28500,0,0,201905221421.951996,201905221421.951996
2019-05-22 14:22:00,000048.SZ,19,19,19,19,1900,36100,0,0,201905221422.951996,201905221422.951996
2019-05-22 14:23:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:24:00,000048.SZ,19.01,19.01,19.01,19.01,2000,38020,0.01,0.000526,201905221424.951996,201905221424.951996
2019-05-22 14:25:00,000048.SZ,19.01,19.01,19.01,19.01,1000,19010,0,0,201905221425.951996,201905221425.951996
2019-05-22 14:26:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:27:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:28:00,000048.SZ,19.04,19.04,19.04,19.04,400,7616,0.03,0.001578,201905221428.951996,201905221428.951996
2019-05-22 14:29:00,000048.SZ,19.04,19.04,19.04,19.04,5000,95200,0,0,201905221429.951996,201905221429.951996
2019-05-22 14:30:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:31:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:32:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:33:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:34:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:35:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
2019-05-22 14:36:00,000048.SZ,18.96,18.96,18.96,18.96,300,5688,-0.08,-0.004202,201905221436.951996,201905221436.951996
2019-05-22 14:37:00,000048.SZ,18.96,18.96,18.96,18.96,600,11376,0,0,201905221437.951996,201905221437.951996
2019-05-22 14:38:00,000048.SZ,NaN,NaN,NaN,NaN,0,0,0,0,197001010000,197001010000
